sgrna	Gene	control_count	treatment_count	control_mean	treat_mean	LFC	control_var	adj_var	score	p.low	p.high	p.twosided	FDR	high_in_treatment
SETD2_9864	SETD2	125.61/141.34	13392/22737/561.83	133.47	13392	6.638	123.68	3121.3	237.32	1	0	0	0	True
TARBP1_10765	TARBP1	502.43/537.08	15118/46580/659.74	519.76	15118	4.8596	600.06	12619	129.95	1	0	0	0	True
TRMT44_11402	TRMT44	272.15/40.939	8275.4/5008/0	156.55	5008	4.9907	26730	3677	80.006	1	0	0	0	True
HNRNPA2B1_4758	HNRNPA2B1	558.66/437.65	12491/11.111/8286.2	498.16	8286.2	4.0533	7321.1	12080	70.858	1	0	0	0	True
CD276_1973	CD276	309.24/651.12	4815.2/64243/7751.1	480.18	7751.1	4.0099	58442	11633	67.414	1	0	0	0	True
GABRA2_3953	GABRA2	589.16/800.25	9368/34.921/15495	694.71	9368	3.7513	22280	17002	66.517	1	0	0	0	True
RYBP_9568	RYBP	622.66/413.29	7900.4/44.445/65561	517.97	7900.4	3.9284	21919	12574	65.835	1	0	0	0	True
CTRL0055_2693	CTRL0055	220.11/543.9	6418.6/385.72/16469	382.01	6418.6	4.067	52419	9196.1	62.949	1	0	0	0	True
YTHDF2_12373	YTHDF2	1123.3/1167.7	360.76/12883/11721	1145.5	11721	3.3538	986.96	28425	62.724	1	0	0	0	True
MSL2_7265	MSL2	163.29/39.964	3392.9/3.1746/2843.7	101.63	2843.7	4.7928	7604.8	2358.8	56.458	1	0	0	0	True
GSK3A_4414	GSK3A	333.16/439.6	45.256/5327/16926	386.38	5327	3.7818	5665	9304.4	51.22	1	0	0	0	True
MAP3K7_6531	MAP3K7	1655/1756.5	14647/12222/57.852	1705.8	12222	2.8403	5143.4	42795	50.836	1	0	0	0	True
TRMT112_11285	TRMT112	285.91/102.35	8319.4/3444.5/969.02	194.13	3444.5	4.1422	16848	4586.9	47.992	1	0	0	0	True
SUV420H1_10574	SUV420H1	825.43/771.99	7327.6/9.5239/8654.5	798.71	7327.6	3.196	1427.9	19623	46.608	1	0	0	0	True
C14orf169_1434	C14orf169	1135.9/1205.7	8912.9/358.73/59808	1170.8	8912.9	2.9273	2441.8	29070	45.408	1	0	0	0	True
PDE7B_8108	PDE7B	1024.6/639.42	7079.3/65.08/12665	832.02	7079.3	3.0874	74183	20464	43.671	1	0	0	0	True
MEN1_6758	MEN1	580.79/599.46	20056/5806.4/4000.7	590.13	5806.4	3.2964	174.28	14378	43.502	1	0	0	0	True
REN_9177	REN	327.78/287.55	4033/1.5873/4170.9	307.66	4033	3.7081	809.34	7362.3	43.416	1	0	0	0	True
TPK1_11144	TPK1	486.28/405.49	4683.4/290.48/15391	445.89	4683.4	3.3899	3264	10780	40.813	1	0	0	0	True
EHMT2_3116	EHMT2	192.6/219.31	226.28/2825.4/2755.8	205.96	2755.8	3.7356	356.84	4874.3	36.522	1	2.5047e-292	5.0093e-292	3.1183e-289	True
AAVS0073_73	AAVS	318.21/196.9	9.0512/4712.7/3049.5	257.55	3049.5	3.5605	7358.4	6133.1	35.651	1	1.1577e-278	2.3155e-278	1.3727e-275	True
LEO1_6365	LEO1	662.14/382.09	359.46/15889/4351.2	522.12	4351.2	3.0565	39212	12678	34.007	1	8.8097e-254	1.7619e-253	9.971e-251	True
PARP2_7932	PARP2	363.07/606.28	35061/17.46/4132	484.68	4132	3.0891	29577	11745	33.655	1	1.3048e-248	2.6097e-248	1.4126e-245	True
METTL4_6868	METTL4	1174.7/1141.4	6694/61.905/8295.1	1158.1	6694	2.5301	555.4	28745	32.652	1	3.7789e-234	7.5578e-234	3.9206e-231	True
C14orf169_1437	C14orf169	330.17/319.71	384.03/4852.4/3077.3	324.94	3077.3	3.2394	54.697	7787.6	31.189	1	7.4793e-214	1.4959e-213	7.4494e-211	True
CYP51A1_2800	CYP51A1	1360.8/967.91	448.68/6293.7/7216	1164.3	6293.7	2.4334	77166	28905	30.17	1	2.9364e-200	5.8728e-200	2.7551e-197	True
YES1_12225	YES1	382.21/643.32	162.92/8214.3/3878.3	512.77	3878.3	2.9166	34090	12445	30.169	1	2.9875e-200	5.9749e-200	2.7551e-197	True
BRD4_1271	BRD4	117.83/169.6	1889.1/4082.6/11.125	143.72	1889.1	3.7072	1340.1	3367.7	30.076	1	4.9719e-199	9.9439e-199	4.4215e-196	True
GABRQ_4093	GABRQ	163.89/338.23	2526.6/2774.6/11.125	251.06	2526.6	3.3259	15198	5974.3	29.44	1	8.4492e-191	1.6898e-190	7.2547e-188	True
VTCN1_12046	VTCN1	794.92/584.84	7615.9/109.52/4482.4	689.88	4482.4	2.6981	22068	16881	29.19	1	1.2963e-187	2.5927e-187	1.076e-184	True
TGS1_10929	TGS1	336.15/197.87	0/2587.3/3105.1	267.01	2587.3	3.2716	9561	6364.6	29.084	1	2.8431e-186	5.6862e-186	2.2836e-183	True
ADRA2C_370	ADRA2C	293.68/520.51	4007.1/3250.8/0	407.1	3250.8	2.9943	25724	9817.3	28.7	1	1.8819e-181	3.7637e-181	1.4643e-178	True
CPT1A_2511	CPT1A	380.41/740.8	3911.4/38.095/8455.3	560.61	3911.4	2.8004	64937	13639	28.692	1	2.4249e-181	4.8499e-181	1.8297e-178	True
ELP3_3174	ELP3	275.74/620.9	8290.9/466.67/3431.1	448.32	3431.1	2.9333	59569	10840	28.648	1	8.4495e-181	1.6899e-180	6.188e-178	True
IMPDH1_5194	IMPDH1	370.25/331.41	4401.5/1.5873/2900.4	350.83	2900.4	3.0438	754.18	8425.7	27.776	1	4.2778e-170	8.5557e-170	3.0434e-167	True
RXRB_9541	RXRB	1077.2/730.07	5038.9/55086/259.22	903.66	5038.9	2.478	60263	22277	27.706	1	2.9527e-169	5.9053e-169	2.0423e-166	True
KDM2A_5892	KDM2A	847.56/395.74	4004.5/377.78/6560.7	621.65	4004.5	2.6855	1.0207e+05	15168	27.468	1	2.1206e-166	4.2412e-166	1.4271e-163	True
FTSJ1_3855	FTSJ1	957.02/687.19	4626.5/12454/7.7878	822.1	4626.5	2.4911	36405	20214	26.758	1	4.9492e-158	9.8984e-158	3.243e-155	True
EHMT1_3107	EHMT1	806.89/563.39	4136.4/4736.5/643.05	685.14	4136.4	2.5922	29644	16762	26.658	1	7.3184e-157	1.4637e-156	4.6725e-154	True
HBB_4493	HBB	299.67/174.48	2218.8/3.1746/4593.7	237.07	2218.8	3.221	7836.2	5632.5	26.406	1	5.8445e-154	1.1689e-153	3.6382e-151	True
RXRG_9559	RXRG	93.907/99.423	1337/9.5239/6022.2	96.665	1337	3.7761	15.209	2240.5	26.204	1	1.2346e-151	2.4693e-151	7.4982e-149	True
SQLE_10417	SQLE	617.87/111.12	2813.6/6201.6/22.251	364.5	2813.6	2.945	1.284e+05	8763.3	26.163	1	3.5483e-151	7.0966e-151	2.1036e-148	True
AR_773	AR	334.36/359.68	2692.1/3288.9/1172.6	347.02	2692.1	2.952	320.5	8331.7	25.691	1	7.2791e-146	1.4558e-145	4.2151e-143	True
FTO_3846	FTO	429.46/463.97	323.26/4196.8/3066.2	446.72	3066.2	2.7762	595.49	10800	25.205	1	1.7588e-140	3.5176e-140	9.9533e-138	True
SLAMF7_10078	SLAMF7	1161/1247.7	33.619/5546.1/12929	1204.3	5546.1	2.2023	3756.2	29926	25.098	1	2.6053e-139	5.2106e-139	1.4416e-136	True
DRD3_3011	DRD3	116.04/372.35	2142.6/6123.8/94.566	244.19	2142.6	3.128	32847	5806.4	24.913	1	2.6974e-137	5.3948e-137	1.4601e-134	True
CFTR_2236	CFTR	433.05/608.23	14350/3304.8/32.264	520.64	3304.8	2.6639	15344	12641	24.763	1	1.1308e-135	2.2616e-135	5.9908e-133	True
CKB_2396	CKB	159.1/197.87	1772.7/1.1106e+05/14.463	178.49	1772.7	3.3048	751.41	4207.5	24.578	1	1.0929e-133	2.1858e-133	5.6693e-131	True
USP28_11871	USP28	443.22/633.58	4016.2/28.572/3323.2	538.4	3323.2	2.6236	18118	13084	24.345	1	3.2551e-131	6.5102e-131	1.6541e-128	True
CTRL0008_2646	CTRL0008	490.47/972.78	7599.1/3884.1/1414	731.63	3884.1	2.4068	1.1631e+05	17931	23.542	1	7.5091e-123	1.5018e-122	3.7395e-120	True
CTRL0076_2714	CTRL0076	684.27/1114.1	417.65/4387.3/4960.8	899.19	4387.3	2.2854	92386	22164	23.43	1	1.0637e-121	2.1273e-121	5.1932e-119	True
S1PR5_9585	S1PR5	537.72/303.14	209.47/11130/2771.3	420.43	2771.3	2.7177	27515	10148	23.337	1	9.3231e-121	1.8646e-120	4.4643e-118	True
BRD4_1257	BRD4	68.188/296.32	90.512/9958.8/1712.2	182.25	1712.2	3.2248	26022	4298.8	23.335	1	9.8528e-121	1.9706e-120	4.6289e-118	True
PNLIP_8377	PNLIP	285.31/651.12	3855.8/3.1746/2934.9	468.22	2934.9	2.6455	66908	11335	23.169	1	4.7086e-119	9.4173e-119	2.1712e-116	True
CD274_1961	CD274	314.02/389.89	2666.2/2477.8/1.1125	351.96	2477.8	2.8121	2878.2	8453.6	23.121	1	1.4218e-118	2.8436e-118	6.437e-116	True
TRMT61A_11496	TRMT61A	421.09/405.49	3321.8/3.1746/2717.9	413.29	2717.9	2.7143	121.67	9970.8	23.08	1	3.6556e-118	7.3112e-118	1.6254e-115	True
PRMT6_8771	PRMT6	318.21/450.33	2596.4/280.95/2782.5	384.27	2596.4	2.7531	8727.5	9252.1	22.998	1	2.4324e-117	4.8648e-117	1.0626e-114	True
YTHDF3_12448	YTHDF3	363.07/723.25	4118.3/90.477/3178.5	543.16	3178.5	2.5467	64866	13203	22.935	1	1.0355e-116	2.071e-116	4.4455e-114	True
CTRL0083_2721	CTRL0083	654.96/639.42	3517/14.286/4630.4	647.19	3517	2.4403	120.67	15808	22.825	1	1.2864e-115	2.5729e-115	5.4292e-113	True
THUMPD3_10985	THUMPD3	597.54/975.71	174.56/3934.9/5731.8	786.62	3934.9	2.3211	71506	19318	22.652	1	6.728e-114	1.3456e-113	2.7921e-111	True
TARBP1_10757	TARBP1	536.53/381.12	571.52/19911/2843.7	458.82	2843.7	2.6291	12076	11101	22.634	1	9.9227e-114	1.9845e-113	4.0504e-111	True
RNMT_9297	RNMT	250.62/505.89	2491.7/4814.3/7.7878	378.25	2491.7	2.7165	32581	9103.3	22.151	1	5.1428e-109	1.0286e-108	2.0654e-106	True
SETD1B_9852	SETD1B	637.01/185.2	2526.6/14.286/4403.4	411.11	2526.6	2.6167	1.0207e+05	9916.7	21.243	1	1.8988e-100	3.7976e-100	7.5049e-98	True
AURKC_1031	AURKC	345.72/417.19	3065.8/2311.1/1.1125	381.45	2311.1	2.5959	2553.4	9182.5	20.137	1	1.7363e-90	3.4725e-90	6.7551e-88	True
IL6_5169	IL6	827.82/692.06	3504.1/11.111/3922.8	759.94	3504.1	2.2036	9215.5	18645	20.097	1	3.9166e-90	7.8332e-90	1.5004e-87	True
METAP2_6807	METAP2	77.16/0	624.53/104.76/694.23	38.58	624.53	3.9823	2976.8	871.89	19.844	1	6.8427e-88	1.3685e-87	2.5816e-85	True
LCK_6331	LCK	659.15/705.71	3180.9/3965.1/623.02	682.43	3180.9	2.219	1083.9	16693	19.337	1	1.3053e-83	2.6106e-83	4.851e-81	True
ODC1_7776	ODC1	650.17/783.68	606.43/6923.8/3277.6	716.93	3277.6	2.1911	8912.5	17561	19.323	1	1.7313e-83	3.4626e-83	6.3397e-81	True
STAT3_10500	STAT3	556.27/571.19	1291.7/2817.5/2939.3	563.73	2817.5	2.3193	111.39	13717	19.243	1	8.099e-83	1.6198e-82	2.9227e-80	True
TNFSF13B_11067	TNFSF13B	553.87/840.22	192.66/3149.2/5259	697.05	3149.2	2.1741	40997	17061	18.774	1	6.2025e-79	1.2405e-78	2.2063e-76	True
CA3_1576	CA3	811.07/1312	2.5861/18375/4031.9	1061.5	4031.9	1.9243	1.2546e+05	26286	18.321	1	2.8255e-75	5.6511e-75	9.9093e-73	True
luciferase:83-102_luciferase_+_6444	luciferase:83-102_luciferase_+	320.6/216.39	1712/5706.4/22.251	268.5	1712	2.6682	5429.9	6401	18.042	1	4.5572e-73	9.1144e-73	1.576e-70	True
CD276_1975	CD276	443.22/361.63	2149/2250.8/0	402.42	2149	2.414	3328.7	9701.5	17.733	1	1.1751e-70	2.3502e-70	4.0082e-68	True
KCNB2_5624	KCNB2	454.58/411.34	2637.8/14.286/2216.2	432.96	2216.2	2.3531	935.14	10459	17.437	1	2.1714e-68	4.3427e-68	7.3063e-66	True
MEN1_6757	MEN1	397.76/56.534	1483.1/11232/74.54	227.15	1483.1	2.7016	58218	5390.3	17.107	1	6.6157e-66	1.3231e-65	2.1964e-63	True
PLCL1_8334	PLCL1	1064.1/1046.9	5166.9/3795.3/3.3376	1055.5	3795.3	1.8453	148.31	26132	16.949	1	9.8613e-65	1.9723e-64	3.2309e-62	True
THUMPD3_10995	THUMPD3	386.99/451.3	2123.2/15.873/2891.5	419.15	2123.2	2.3379	2067.7	10116	16.942	1	1.1022e-64	2.2044e-64	3.5642e-62	True
TGS1_10916	TGS1	540.72/461.05	0/3512.7/2361.9	500.88	2361.9	2.2352	3173.4	12148	16.885	1	2.9045e-64	5.8089e-64	9.272e-62	True
PRDM4_8569	PRDM4	291.89/400.61	618.07/6069.9/1881.3	346.25	1881.3	2.4384	5910.5	8312.8	16.836	1	6.6002e-64	1.32e-63	2.0803e-61	True
CRBN_2531	CRBN	453.39/374.3	12770/1734.9/2089.4	413.84	2089.4	2.3331	3127.6	9984.5	16.768	1	2.0884e-63	4.1767e-63	6.5e-61	True
CTRL0088_2726	CTRL0088	547.29/675.49	18887/17.46/2650.1	611.39	2650.1	2.1141	8216.9	14910	16.696	1	7.0422e-63	1.4084e-62	2.1648e-60	True
