sgRNA	Gene	D0R1	D0R2	IVR1	IVR2	XENOR1	XENOR2	XENOR3	XENOR4	XENOR5
OPRK1_7821	OPRK1	188	281	1631	1109	3629	8	196	22	3
HTR1F_4886	HTR1F	7	16	1761	436	3093	27	40	2	2
HTR1B_4864	HTR1B	23	1	867	639	86	212	159	0	1
TXNRD1_11677	TXNRD1	139	194	231	164	18	5	0	15	10
MMP26_7090	MMP26	32	40	1389	943	251	43	6	23	11
SRD5A2_10453	SRD5A2	9	3	712	429	186	589	0	0	1
BRD4_1283	BRD4	1	18	558	155	0	9	1	2	1
DCK_2848	DCK	22	1	851	315	642	4	54	60	3
PRMT1_8711	PRMT1	12	4	663	429	7	707	0	2	2
CPS1_2499	CPS1	22	2	817	731	251	848	66	5	6
EHMT1_3103	EHMT1	8	0	515	330	1070	57	0	0	10
GCGR_4178	GCGR	8	0	649	660	128	27	12	13	0
IFNAR2_5020	IFNAR2	39	0	441	638	0	2	2700	5	0
RNMT_9303	RNMT	50	22	842	770	46	5174	3	2	1
LacZ:2007-2026_LacZ_+_6315	LacZ:2007-2026_LacZ_+	28	59	771	867	224	61	217	6	60
TFB1M_10872	TFB1M	19	26	275	1	0	0	0	0	0
KCNJ11_5721	KCNJ11	22	2	657	435	0	7	101	0	1
TRMT44_11411	TRMT44	44	21	228	241	12	1520	41	0	0
MMP2_7034	MMP2	29	1	1279	476	1406	36	1	0	133
FSHR_3779	FSHR	10	2	1135	740	0	27	0	1	0
ADRB3_397	ADRB3	41	0	592	75	0	0	45	24	8
SETD3_9878	SETD3	63	42	780	164	0	7	7	1	0
PDE8A_8113	PDE8A	26	0	405	427	390	1	1	1	7708
USP3_11886	USP3	32	43	542	435	58	11	449	1	0
HRH1_4800	HRH1	35	0	1313	715	34	1	0	1	366
TBL1XR1_10797	TBL1XR1	33	0	1562	925	291	781	47	20	21
TUBB1_11618	TUBB1	18	3	1329	499	13	1	1	4	1
DRD1_2987	DRD1	18	14	433	123	0	0	0	0	0
RNMT_9317	RNMT	10	16	996	603	288	98	777	18	122
AAVS0026_26	AAVS	10	4	2871	1338	17626	1202	826	411	10484
SCN9A_9733	SCN9A	14	1	721	557	198	23	17	15	2
SRD5A1_10443	SRD5A1	29	2	529	343	4	0	24	0	0
MYSM1_7374	MYSM1	1	1	409	327	0	2	0	0	0
NOS2_7505	NOS2	154	88	1121	881	0	69	17	6	51
SERPINB2_9804	SERPINB2	10	0	352	427	11	0	0	1	0
ALOX5_622	ALOX5	141	196	2710	1674	968	1508	482	1920	1631
CYSLTR1_2811	CYSLTR1	15	22	473	286	31	121	0	32	1
ING3_5217	ING3	23	2	1687	1838	180	97	343	117	35
TRMT61A_11468	TRMT61A	2	30	634	342	416	623	31	0	0
INSR_5246	INSR	72	23	745	304	8	1	0	0	2
KCNE1_5696	KCNE1	20	71	729	337	0	4	0	9	1
MMP7_7132	MMP7	55	0	961	661	63	14	22	1	4
RXRG_9553	RXRG	14	0	1398	761	940	11	189	4	31
FCER1G_3539	FCER1G	12	1	526	488	1768	716	1135	4	194
KDM1A_5838	KDM1A	20	13	637	577	115	1995	5	1	14
TRMT10A_11231	TRMT10A	96	142	1294	670	76	10	20	29	0
BRD4_1255	BRD4	16	1	498	210	3222	36	81	0	0
SETDB2_9921	SETDB2	6	18	1007	588	88	31	0	0	4
JAK1_5370	JAK1	11	45	1903	961	890	50	33	1	3
KMT2D_6251	KMT2D	29	1	1197	631	0	0	186	0	0
HCRTR1_4539	HCRTR1	10	0	516	223	5	136	178	0	398
CACNA1H_1663	CACNA1H	139	100	730	332	0	0	155	0	177
RSAD1_9481	RSAD1	27	0	241	127	0	26	0	0	5
LacZ:2348-2367_LacZ_+_6325	LacZ:2348-2367_LacZ_+	15	2	1018	818	71	163	3095	6421	100
RBBP5_9126	RBBP5	49	95	967	496	0	6	175	3	1
IRF7_5265	IRF7	67	13	237	187	0	0	215	1	0
CACNA1H_1669	CACNA1H	22	8	419	264	101	1	22	1	0
CTR9_2636	CTR9	32	0	1346	583	298	2	58	197	11
MCRS1_6712	MCRS1	30	2	880	18	149	131	1	0	0
PPP5C_8531	PPP5C	20	0	976	486	36	494	28	36	166
MAVS_6593	MAVS	22	18	858	140	8	4	0	0	0
CACNA1B_1620	CACNA1B	12	1	858	517	272	52	32	1	3
GRIN3A_4374	GRIN3A	43	111	914	252	12	2	8	1	23
KCNJ8_5740	KCNJ8	20	1	959	398	39	26	202	260	886
KDM1B_5882	KDM1B	29	15	1129	918	16	24	6	2609	2
MECP2_6733	MECP2	24	0	534	243	87	11	0	0	0
EZH2_3387	EZH2	26	0	784	594	31	15	63	0	7
ADRB3_396	ADRB3	16	36	1443	1116	24	5	1	0	1
GART_4165	GART	16	22	970	892	94	323	2	1369	51
JAK2_5383	JAK2	13	0	383	360	0	409	0	0	0
LEO1_6368	LEO1	17	1	974	328	2575	107	111	718	49
ICAM1_4980	ICAM1	19	1	690	409	108	21	282	4	25
ERBB4_3269	ERBB4	8	0	449	558	0	41	8	1	16
HTR1D_4873	HTR1D	121	59	1285	515	506	1	2994	4	0
YES1_12228	YES1	63	48	666	458	213	444	104	1	1
ATXN7L3_997	ATXN7L3	15	1	1123	927	1010	6	834	0	1
MEPCE_6783	MEPCE	21	1	996	512	16	3	11	12	0
SKP1_10069	SKP1	39	3	1587	308	2143	749	496	2	76
CAMLG_1788	CAMLG	13	0	82	204	0	13	3	0	43
ESRRG_3292	ESRRG	70	101	110	210	0	5	0	0	338
TBXA2R_10815	TBXA2R	19	9	476	619	475	22	13529	24	339
PCGF2_7981	PCGF2	12	1	924	325	21	1	0	5	0
CALY_1781	CALY	50	36	324	2	4	3	1	0	18
EZH1_3337	EZH1	21	0	779	416	10	0	12	1	0
METTL4_6859	METTL4	16	2	1155	783	36	9	5302	359	15
CTBP1_2602	CTBP1	17	1	344	142	5	26	6	0	0
KMT2B_6228	KMT2B	37	31	714	640	0	6	276	2	1
AURKA_1009	AURKA	21	3	671	60	2	2	226	8	2
PPP5C_8533	PPP5C	32	18	667	983	0	22	685	152	1
DOT1L_2934	DOT1L	55	100	267	257	0	0	1	0	1
F8_3466	F8	34	0	464	152	13	0	401	0	1
POLR2D_8466	POLR2D	12	0	232	67	11121	54	9	0	14
ALKBH8_609	ALKBH8	24	3	997	912	430	9	2470	7	37
IL6_5174	IL6	61	3	349	637	221	32	263	164	1
YTHDF1_12341	YTHDF1	16	2	1027	793	20	0	6	2	0
DDR2_2887	DDR2	47	20	828	611	27	6555	0	0	8
HNRNPA2B1_4742	HNRNPA2B1	35	21	916	743	25	259	3	1158	15
CTRL0019_2657	CTRL0019	29	1	1238	1799	4320	376	285	70	150
MAVS_6589	MAVS	31	108	1215	333	8	0	0	0	11
ANXA1_655	ANXA1	12	0	397	180	14	25	503	8	0
TARBP1_10777	TARBP1	16	3	875	476	0	155	302	1	98
CYSLTR2_2825	CYSLTR2	49	20	775	12	0	4	0	0	7
FCGR3A_3597	FCGR3A	54	200	963	1049	34	4082	310	3	27
TARBP1_10756	TARBP1	47	121	541	459	27	37	0	29	1
FTH1_3787	FTH1	23	1	499	567	312	6	0	0	0
TPMT_11155	TPMT	31	11	291	346	0	4	0	0	0
DDB2_2863	DDB2	33	70	544	403	0	37	1	0	8
MMP14_6981	MMP14	32	1	1294	1005	2	3	25	8	0
PLA2G1B_8269	PLA2G1B	18	0	761	414	4389	11	94	702	0
ADRA1B_323	ADRA1B	5	2	558	332	226	0	0	9	0
GABBR1_3922	GABBR1	80	40	750	193	506	535	102	2	0
CD86_2076	CD86	22	46	1674	1321	187	63	5614	10	0
PSMB2_8878	PSMB2	27	0	503	105	2430	3	0	0	0
RARA_9101	RARA	129	136	778	673	211	12	1	0	61
PLK1_8371	PLK1	32	15	1999	1300	8	154	66	0	60
SCNN1A_9742	SCNN1A	15	3	1478	1010	116	8	4	52	3
PSMB10_8871	PSMB10	9	0	194	48	11	0	0	0	18
PCSK9_7991	PCSK9	100	63	1940	939	30	1759	82	9	126
ITGB1_5308	ITGB1	31	1	203	588	1	153	0	0	0
TUBD1_11641	TUBD1	11	63	290	160	0	1	1	0	0
PRDM13_8535	PRDM13	24	1	1041	1017	879	23614	46	26	0
MSL1_7252	MSL1	24	1	686	292	0	3	10	3696	266
AR_768	AR	61	21	742	287	337	271	84	0	3529
MC2R_6708	MC2R	4	1	1570	950	157	24	2722	24	1534
COMT_2472	COMT	19	29	433	396	0	1	374	0	1
TBL1Y_10803	TBL1Y	48	31	618	507	24	6	80	1	0
TNFSF11_11061	TNFSF11	26	25	660	464	54	192	1850	2069	0
FGFR2_3677	FGFR2	219	274	957	839	8	1	56	0	0
AR_782	AR	18	2	290	361	0	120	492	1	208
CTRL0048_2686	CTRL0048	1	4	746	340	1310	1	3817	4	10
PDE7A_8098	PDE7A	75	5	1014	763	831	0	336	1	0
TRMT12_11305	TRMT12	12	3	2180	578	286	2	0	0	0
MMP17_7011	MMP17	108	80	323	93	0	6	0	0	2
HPRT1_4789	HPRT1	17	2	422	471	1238	5	22	21	67
RSAD1_9489	RSAD1	26	2	2342	1664	176	669	396	273	6089
CNR1_2457	CNR1	14	1	826	439	0	468	0	0	0
RSAD1_9499	RSAD1	23	63	446	268	77	4	37	0	0
NISCH_7460	NISCH	17	0	91	216	0	0	9	0	1
VTCN1_12042	VTCN1	91	40	578	776	738	885	83	53	1229
RAMP3_9090	RAMP3	14	18	438	278	0	1	0	0	0
GABRA4_3974	GABRA4	11	2	1320	1195	202	25	30979	65	1
PARP1_7915	PARP1	31	3	349	127	0	24	0	0	1
HRH1_4792	HRH1	24	8	446	708	7	0	0	0	1
CD247_1936	CD247	50	98	940	509	66	8	17	0	0
PSMB8_8894	PSMB8	27	0	563	332	9	5	1	39	0
ADRA2B_358	ADRA2B	19	3	1009	458	71	371	406	3	29
GABRA1_3942	GABRA1	25	0	1859	972	30	71	1	322	2300
TRMT61A_11472	TRMT61A	55	1	388	87	22	4	0	1	0
GSR_4423	GSR	10	0	792	525	34	0	0	0	0
EPHA2_3234	EPHA2	133	92	777	453	93	4	0	0	6
PTH2R_9027	PTH2R	12	3	660	603	11	3	818	35	213
AKR1C2_415	AKR1C2	1	2	1515	1605	119	772	3	16	28
HTR7_4958	HTR7	29	5	1190	575	0	7	381	29	15610
C5_1489	C5	21	1	2073	965	254	1	1665	7	1
TRMT10A_11238	TRMT10A	29	2	134	255	14	1	2	1541	0
GABRR2_4117	GABRR2	20	73	944	410	479	35	5846	16	50
FGFR2_3681	FGFR2	62	22	3086	2037	75	210	8773	23	77
THUMPD2_10970	THUMPD2	19	2	831	424	6	0	0	0	1
PER2_8175	PER2	20	5	872	248	5	0	0	100	804
F10_3401	F10	16	1	1103	688	1277	60	1173	258	6728
MET_6799	MET	95	137	1026	705	0	1	110	2079	6853
GUCY1A2_4457	GUCY1A2	20	21	826	350	1	47	15	0	7
IL2RB_5128	IL2RB	11	3	1981	1127	168	180	10	90	11
SLC6A2_10241	SLC6A2	12	2	419	223	151	0	0	18	4
ASXL1_895	ASXL1	14	2	624	401	3212	3	0	0	0
POLR1C_8461	POLR1C	6	0	676	321	936	285	3	5	16787
VTCN1_12047	VTCN1	31	25	1709	896	0	0	119	676	20
PLA2G2A_8279	PLA2G2A	44	3	396	539	0	0	31	0	11
SI_9966	SI	19	1	466	599	113	0	0	40	135
HTR6_4945	HTR6	20	17	951	943	275	68	286	39	1
YTHDF2_12397	YTHDF2	23	2	2030	991	363	49	6055	19	0
MED24_6744	MED24	16	12	498	356	63	0	44	17	0
OGT_7793	OGT	30	22	339	217	1	2	469	0	1
TFB1M_10878	TFB1M	21	15	3245	1247	147	19	301	869	38
AMY2A_639	AMY2A	35	37	618	727	313	0	80	1	1
DRD3_3008	DRD3	213	9	463	292	40	0	42	0	4
PTGER1_8941	PTGER1	56	76	733	311	0	21	0	0	1
SCN2B_9676	SCN2B	5	27	601	660	13	12	0	157	17926
GTF3C4_4446	GTF3C4	7	1	441	315	81	4271	58	6	9638
APBB1_675	APBB1	1	24	1790	2005	26	72	1088	15	241
UBE2E1_11766	UBE2E1	30	0	724	248	0	0	0	1	0
GART_4162	GART	123	87	2119	869	212	425	398	15	105
TFPI_10911	TFPI	44	109	966	696	20	12	0	0	286
HDAC1_4559	HDAC1	15	29	1284	729	567	7	11	1	1
SLC25A6_10206	SLC25A6	43	57	3281	2178	260	28	397	5	31
PROS1_8852	PROS1	9	27	502	732	1	0	6	3154	39
RNF2_9242	RNF2	62	0	1394	805	122	4	993	143	18
PRKAA1_8637	PRKAA1	16	52	723	150	0	30	0	76	0
MMP15_6990	MMP15	14	1	1007	656	8	2	1	593	2
GCGR_4170	GCGR	20	0	250	235	0	10	248	1	1
KDM5D_6054	KDM5D	16	1	1640	976	124	5	9	26	956
HDAC2_4583	HDAC2	65	66	2088	1147	1560	71	5	438	2
KIT_6204	KIT	13	22	1207	754	359	50	38	14	62
THUMPD2_10973	THUMPD2	9	48	1447	670	1107	11	96	684	1204
ZNF335_12464	ZNF335	18	2	718	307	32	3	538	1	0
MME_6919	MME	26	1	640	371	2309	1	0	6	0
SOAT1_10393	SOAT1	5	2	578	533	0	11	1	1	14
TRMT2B_11394	TRMT2B	26	1	1099	807	380	89	1268	0	25
BRD7_1331	BRD7	11	0	238	87	0	1	140	3	380
CACNA2D1_1693	CACNA2D1	16	1	1036	625	8	24	17	4	300
FTO_3821	FTO	22	1	800	869	12	94	0	0	10
GABRG2_4062	GABRG2	152	199	2239	1231	26	1	1451	33	2
CACNB1_1716	CACNB1	23	1	1184	287	232	4493	397	3	1
ALKBH8_614	ALKBH8	44	1	611	637	12	12	4487	7	4
SIRT1_10001	SIRT1	36	31	1264	1375	327	136	4	1054	2
ALKBH5_540	ALKBH5	19	1	1133	839	388	131	232	60	604
CDY2A_2198	CDY2A	37	3	2465	2002	331	391	10112	1212	608
TRMT10C_11267	TRMT10C	38	1	577	496	2	7	0	0	769
UBE2U_11783	UBE2U	11	37	1241	1131	2039	28	909	95	1
ADH1C_251	ADH1C	59	28	890	920	1309	2	81	0	247
GABRB2_4013	GABRB2	15	0	904	399	152	0	131	0	0
C14orf169_1443	C14orf169	2	0	813	374	80	54	13	1	13
DRD3_3010	DRD3	25	0	587	379	934	3	0	0	0
ICAM1_4972	ICAM1	49	180	748	120	17	1	636	10	2
BRAF_1213	BRAF	13	0	232	53	7	14	4	0	0
ING5_5235	ING5	20	17	844	332	759	7	95	2	1
ADORA2A_287	ADORA2A	81	111	743	568	177	7	473	2	1
CHRNA3_2339	CHRNA3	18	0	1290	501	78	7	3	0	0
CHRM5_2314	CHRM5	15	0	1448	894	43	9	38	11	0
PTGS1_9005	PTGS1	13	25	2056	1160	71	53	0	4	105
MAOA_6460	MAOA	105	92	1631	836	248	98	10	472	1
GRM5_4391	GRM5	39	0	895	290	1482	7	0	68	0
KCNC2_5639	KCNC2	28	0	1023	541	41	5	200	0	23
F2_3424	F2	17	1	803	455	2	126	1085	1	1
ALKBH1_483	ALKBH1	25	0	1479	416	0	158	0	1	0
KDM2A_5957	KDM2A	10	0	737	195	0	1	23	0	2
RC3H2_9159	RC3H2	32	0	1182	684	6	11	192	0	0
PRKAA2_8647	PRKAA2	49	23	1147	460	1419	74	591	0	370
PSMB2_8874	PSMB2	32	0	948	18	39	54	214	0	205
RRM1_9452	RRM1	25	1	351	21	198	0	315	2	0
MMP14_6982	MMP14	81	72	956	884	1421	3	18	2	64
VEGFA_11984	VEGFA	9	3	1256	895	384	187	24	1	85
KDM2B_5968	KDM2B	21	0	490	668	53	24	45	1	5
PDXK_8153	PDXK	261	333	396	329	366	27	184	3589	0
AR_813	AR	20	45	595	440	167	17	76	202	44
TADA3_10670	TADA3	34	1	1091	318	1	1	0	0	0
SLC6A2_10247	SLC6A2	15	0	842	427	82	92	129	8	1
METTL3_6842	METTL3	28	10	474	325	0	0	8	0	0
CHRM4_2302	CHRM4	14	3	708	449	2	147	14	0	0
KIAA1456_6160	KIAA1456	34	1	1051	499	11	6581	212	1235	0
EDNRB_3064	EDNRB	69	22	740	625	1650	10	0	189	454
C10orf54_1424	C10orf54	13	2	306	582	1834	1	0	113	1
KAT5_5481	KAT5	47	25	666	314	7	0	119	0	7
F7_3452	F7	8	5	1215	598	210	13	4208	20	31
GRIN2D_4359	GRIN2D	12	2	442	206	182	4	415	0	133
KCNA6_5592	KCNA6	61	2	735	529	12	139	339	73	0
CBX8_1833	CBX8	7	28	1777	224	22	1557	0	0	17
OXTR_7836	OXTR	41	2	921	681	436	685	69	1	0
SMOX_10332	SMOX	17	48	281	318	8	41	0	1	0
SLC25A4_10181	SLC25A4	9	40	380	210	1	14	0	0	9
ITGAV_5299	ITGAV	12	0	338	232	0	73	0	0	0
PTGS1_9007	PTGS1	17	12	476	356	0	0	0	0	9
EZH1_3339	EZH1	9	3	1248	612	7867	13	16	9	1404
CTRL0061_2699	CTRL0061	46	49	1072	740	660	43	4478	698	5496
MRM1_7211	MRM1	1	0	963	543	4	67	0	1	0
SLCO2B1_10301	SLCO2B1	19	40	2239	1798	208	0	0	0	15
AR_834	AR	22	1	917	1314	123	132	866	134	123
EPC1_3226	EPC1	16	1	963	608	0	173	1189	69	462
POLE3_8434	POLE3	21	6	347	172	17	4	0	0	0
CSF3R_2585	CSF3R	7	1	1350	502	946	0	29	131	7
YEATS4_12215	YEATS4	38	0	420	437	9	6	4	3371	1
RNF40_9262	RNF40	9	0	407	146	14	0	2	14	0
TRMT61A_11479	TRMT61A	21	0	401	246	1	1	0	0	1
NEK11_7441	NEK11	10	17	2018	1061	4223	66	2670	1293	3
AOC3_665	AOC3	13	1	702	322	45	14	379	73	22
SPI1_10409	SPI1	10	1	857	713	46	0	38	1	2001
FSHR_3776	FSHR	19	1	828	319	5	35	2	0	1
WDR74_12105	WDR74	61	0	200	113	12	0	0	0	0
MAVS_6675	MAVS	29	1	822	540	0	0	1	717	9
CLOCK_2445	CLOCK	33	0	597	627	1557	2667	1	2	80
SETD2_9867	SETD2	26	3	499	181	268	16	67	0	361
PDCD1_8001	PDCD1	15	11	990	560	0	2	332	1546	1904
MUT_7348	MUT	26	1	616	99	3	18	835	103	2
TBL1Y_10806	TBL1Y	47	16	857	1031	4	10	28	22	98
PRMT6_8784	PRMT6	46	0	33	0	0	0	15	0	0
BRD4_1281	BRD4	16	1	857	169	0	556	249	0	0
CD3D_2011	CD3D	26	2	592	571	4137	113	0	2	0
SCN3B_9691	SCN3B	17	1	197	84	0	15	34	1	0
POLR1C_8458	POLR1C	1	0	408	1	95	2	86	0	148
SETMAR_9936	SETMAR	28	2	780	1074	144	29	209	19	1
SCN11A_9636	SCN11A	133	184	711	592	7	83	4	136	3
SLC8A1_10290	SLC8A1	24	2	1542	899	0	5	0	78	1
KCNJ11_5720	KCNJ11	11	2	268	187	0	0	0	0	79
GAA_3912	GAA	55	1	1116	594	465	15	2525	9	0
KCNJ11_5722	KCNJ11	14	27	1521	980	335	0	0	0	0
USP7_11932	USP7	19	1	1562	1106	16	0	0	223	1923
MGEA5_6907	MGEA5	34	2	815	644	286	2	584	50	12451
CCKBR_1866	CCKBR	77	61	801	380	1	0	309	0	1
CTRL0023_2661	CTRL0023	40	15	637	673	84	67	8065	15	45
KCNB2_5619	KCNB2	14	0	1003	564	12	52	5	0	1
IMPDH2_5198	IMPDH2	24	1	842	345	23	4	73	0	2
PROS1_8846	PROS1	28	2	543	62	5	0	0	0	1
CKM_2408	CKM	17	104	349	229	5	22	3	0	0
KDM5D_6052	KDM5D	18	2	1342	411	370	883	0	0	3
MAPK11_6563	MAPK11	19	1	794	657	28	2	124	58	430
VEGFA_11983	VEGFA	32	2	462	162	0	0	13	69	0
TRMT2B_11384	TRMT2B	51	2	1959	1295	51	107	18	458	507
ADRA1A_317	ADRA1A	13	1	416	276	75	0	8	7	173
ASXL1_899	ASXL1	10	49	855	262	578	0	92	10	66
TRMT5_11438	TRMT5	8	0	525	318	6	8	2	18	4467
PNLIP_8379	PNLIP	26	3	476	594	219	0	0	18	1
CTRL0044_2682	CTRL0044	15	1	266	561	22	9	0	1624	4
YTHDF2_12380	YTHDF2	18	0	1001	480	219	9	0	27	1
GRIN2B_4343	GRIN2B	78	119	308	90	0	0	0	0	0
BAZ1A_1082	BAZ1A	1	0	1724	927	10	7	19	1	4
CACNB1_1721	CACNB1	15	13	563	924	2	14	1	2	2
TFB1M_10889	TFB1M	7	27	3564	2766	387	51	110	4046	53
CHRNA3_2344	CHRNA3	48	87	863	974	4	0	181	27	1
HTR3A_4924	HTR3A	32	35	1527	579	0	1	2	70	3
FCGR3B_3613	FCGR3B	6	11	1308	678	1095	2	708	0	243
JMJD6_5414	JMJD6	10	0	666	248	33	0	0	0	2
GLRA2_4252	GLRA2	33	1	1041	509	463	15	48	15	1
RRM2_9459	RRM2	9	0	151	7	5	0	0	0	0
KIAA1456_6166	KIAA1456	71	50	1341	1102	11961	5	23	12	13
WDR82_12128	WDR82	31	3	1158	260	1931	1	17	0	2
CARTPT_1804	CARTPT	1	1	321	196	7	128	0	0	1
TRMT10A_11229	TRMT10A	11	0	675	297	13	1	241	4	0
ALKBH5_537	ALKBH5	36	1	288	324	0	0	0	0	0
KCNC3_5651	KCNC3	16	33	777	610	133	0	0	0	0
VKORC1L1_12014	VKORC1L1	6	3	177	394	64	5	85	0	0
REST_9192	REST	24	0	222	354	0	36	0	0	0
YTHDC2_12284	YTHDC2	1	4	475	292	0	34	2746	54	0
AMY2A_638	AMY2A	11	2	697	750	9	132	1	0	0
THUMPD3_10998	THUMPD3	17	19	868	900	10	5	0	0	1
FCGR1A_3547	FCGR1A	10	2	512	139	93	19	0	0	167
NEK11_7443	NEK11	28	3	565	413	0	1	0	1	29
DHODH_2908	DHODH	12	1	842	657	190	117	15	4	21
KAT2A_5465	KAT2A	18	0	360	100	1	2	133	0	0
CKMT2_2420	CKMT2	20	0	756	360	258	475	112	3	7
MAVS_6655	MAVS	10	13	1115	830	29	1532	28	2	0
CA4_1587	CA4	22	45	1789	926	273	260	602	20	3
SRD5A2_10455	SRD5A2	9	46	737	575	177	44	319	118	0
NPC1L1_7531	NPC1L1	17	0	786	160	20	16	1	177	364
MEAF6_6729	MEAF6	14	0	223	90	4	0	0	0	1
TRMT2B_11373	TRMT2B	40	10	525	765	45	8	258	54	3669
BRCA2_1216	BRCA2	37	1	1757	588	1841	180	215	250	4429
SLC52A2_10216	SLC52A2	50	22	788	531	6	14	0	1	0
AAVS0053_53	AAVS	26	1	695	607	0	0	0	0	16
BCOR_1126	BCOR	17	2	462	432	0	2	1	0	34
NSUN6_7741	NSUN6	16	0	390	268	40	0	0	0	161
SCN1A_9648	SCN1A	16	1	732	870	19	80	571	0	286
CPT1A_2509	CPT1A	50	2	1586	887	19	3	242	14	4
PDCD1LG2_8011	PDCD1LG2	34	13	460	485	9	121	0	6	0
YTHDC2_12292	YTHDC2	73	152	932	519	36	5291	426	2	33
GABRA6_3993	GABRA6	8	56	794	813	387	0	106	0	3
CD80_2062	CD80	18	26	852	945	35	88	46	10	54
DPP4_2958	DPP4	11	0	626	337	0	61	29	0	6
LacZ:1049-1068_LacZ_-_6272	LacZ:1049-1068_LacZ_-	33	1	454	353	603	39	13	0	0
AR_752	AR	14	13	1073	524	3	5	0	1	2
ITGB1_5317	ITGB1	13	40	594	390	1	0	18	0	0
AR_744	AR	19	35	1986	1021	38	41	295	61	6142
PRMT5_8741	PRMT5	12	3	1809	326	4	64	2	0	2
CD274_1949	CD274	40	1	1227	864	18	12	14	5	1
ATF2_907	ATF2	33	0	846	845	3599	0	908	97	29
TYW3_11706	TYW3	98	59	1261	710	0	338	7	2	58
AR_738	AR	10	2	858	410	29	0	439	11	11
TYW3_11707	TYW3	67	183	569	736	102	68	54	41	11005
ESR1_3271	ESR1	47	43	452	265	287	4	0	0	0
ALKBH4_500	ALKBH4	5	2	515	265	0	1	19	0	14
FTSJ3_3871	FTSJ3	34	1	990	521	34	1	436	0	5
HLCS_4701	HLCS	10	0	382	185	21	236	21	0	34
WHSC1L1_12159	WHSC1L1	18	2	616	570	0	0	0	58	12
CD86_2095	CD86	31	1	923	727	576	6	185	2	5433
C4B_1484	C4B	21	2	1251	834	365	36	112	123	9231
CD274_1958	CD274	24	2	1565	720	42	5	11	0	1
SETD8_9906	SETD8	16	2	450	70	83	1	0	0	2
C9orf114_1507	C9orf114	13	0	419	435	140	0	7	436	0
RARG_9115	RARG	21	19	657	411	218	210	18	1282	2
ARRB1_858	ARRB1	27	1	250	0	732	26	0	0	0
HCRTR2_4541	HCRTR2	15	51	700	484	18	10	14	1	2
YTHDC1_12275	YTHDC1	11	1	1249	328	0	0	1	8	0
MMP19_7021	MMP19	44	42	378	722	4	1	33	0	1
CNR2_2462	CNR2	12	1	1320	995	3	0	81	114	14
KCNA7_5603	KCNA7	20	2	608	304	1	0	89	135	1
BRD4_1300	BRD4	12	17	400	145	0	4	3758	4	0
GRIN1_4320	GRIN1	11	30	1181	626	88	16	296	6	5
BAP1_1065	BAP1	2	2	715	334	5	554	194	0	0
POLR2D_8472	POLR2D	2	25	315	47	202	0	0	0	0
TSHR_11561	TSHR	24	1	877	492	182	3	103	1	67
PRMT5_8740	PRMT5	27	0	2604	500	89	3	199	1269	7
LIPF_6396	LIPF	15	2	947	720	9	0	21	148	0
WDR75_12120	WDR75	12	0	1078	354	0	99	92	1	2762
HRH3_4812	HRH3	21	9	1381	895	310	19	131	159	241
AR_777	AR	7	0	850	589	6	4	16	357	184
NSUN4_7685	NSUN4	18	2	931	513	2178	96	1555	7	67
FTO_3804	FTO	10	2	965	538	31	35	59	23	1
EPC1_3220	EPC1	25	1	1127	794	0	251	1124	2	15
SETD2_9866	SETD2	155	112	93	120	0	0	35	0	6
SKP1_10061	SKP1	28	1	844	619	0	10	20	0	0
PRKCA_8667	PRKCA	5	3	707	594	0	77	0	1	15
HNRNPA2B1_4759	HNRNPA2B1	13	49	713	351	626	78	239	2	12
ADRA2A_343	ADRA2A	52	8	1508	714	137	64	12	188	3
MYSM1_7369	MYSM1	17	1	1244	534	0	10	18	0	371
SETDB2_9920	SETDB2	10	0	1025	398	671	1	101	0	2
USP28_11875	USP28	22	0	1384	873	2084	40	310	2854	81
SLC6A4_10265	SLC6A4	16	0	867	751	0	6	0	0	1
ATP1A1_942	ATP1A1	14	65	893	74	0	6	1	0	0
TEK_10846	TEK	64	110	694	368	4	11	215	0	0
SNAP25_10380	SNAP25	24	20	616	427	55	39	43	6	2
CTRL0099_2737	CTRL0099	13	0	606	309	16	20	92	349	0
TYW3_11701	TYW3	15	1	313	164	329	0	1	0	0
SLAMF7_10077	SLAMF7	23	2	1089	1208	24	0	33	2046	1
GLRB_4275	GLRB	38	2	545	272	0	29	0	1	8
PDE8B_8126	PDE8B	75	87	1202	309	4114	18	34	38	1
DOT1L_2932	DOT1L	25	2	279	158	0	0	0	0	444
KIAA1456_6182	KIAA1456	38	2	777	700	19	0	0	0	36
KIAA1456_6153	KIAA1456	1	0	487	220	7	640	156	3	0
OPRK1_7820	OPRK1	38	24	404	288	346	0	0	0	36
PRKAA2_8645	PRKAA2	23	44	1668	641	72	17	118	258	37
ITGA2B_5273	ITGA2B	7	1	665	438	0	0	93	0	1
UBE2U_11784	UBE2U	40	1	2836	1560	132	36	434	463	192
GABBR2_3937	GABBR2	14	3	1201	675	54	1542	70	1	156
ADH1B_249	ADH1B	43	3	646	555	445	72	197	1	2
MECP2_6735	MECP2	7	3	729	235	10	53	413	1	26
GABRA1_3945	GABRA1	30	4	5086	4453	2983	132	583	35	39
TAF6L_10739	TAF6L	15	13	517	371	0	2	0	0	557
RNMT_9304	RNMT	54	40	2855	1457	2881	166	639	136	7
GABRA3_3960	GABRA3	21	1	1358	837	13	52	286	2835	1
